Experience Category,Word,Word Frequency
Local Attractions,welcome,3891
Local Attractions,quality,3156
Local Attractions,drink,1278
Local Attractions,water,1543
Local Attractions,stream,867
Local Attractions,cultural,4287
Local Attractions,unique,1903
Local Attractions,air,1092
Nature Activities,natural,3967
Nature Activities,scenery,4456
Nature Activities,wilderness,1876
Nature Activities,hiking,3234
Nature Activities,flowing,672
Nature Activities,sea,2387
Nature Activities,forest,2698
Nature Activities,mountain,3087
Nature Activities,beach,4012
Nature Activities,river,1934
Nature Activities,protection,1423
Nature Activities,resource,1156
Nature Activities,wildlife,3745
Nature Activities,whale,4920
Nature Activities,penguin,5139
Nature Activities,albatross,523
Nature Activities,kiwi,3420
Amenities,availability,2234
Amenities,café,1876
Amenities,public,1534
Amenities,wifi,2567
Amenities,hotel,3298
Amenities,facility,2143
Amenities,toilet,1723
Amenities,rubbish,1067
Amenities,bin,743
Safety,relax,3456
Safety,safety,4789
Safety,friendly,3834
