Country,Region,World Heritage Sites,Cultural Heritage Sites,Natural Heritage Sites,Mixed Heritage Sites,Tourism Volume
China,Asia,58,67.2,25.9,6.9,293995000
Italy,Europe,53,92.5,7.5,0,230052000
France,Europe,46,84.8,13,2.2,645480000
Spain,Europe,46,91.3,6.5,2.2,257194000
Germany,Europe,43,97.7,2.3,0,73154000
India,Asia,42,81,16.7,2.4,10549000
Mexico,Latin America,35,77.1,17.1,5.7,324200000
United Kingdom,Europe,32,81.2,15.6,3.1,90245000
Russian Federation,Europe,28,67.9,32.1,0,60099000
Japan,Asia,25,80,20,0,20828799
Brazil,Latin America,23,60.9,34.8,4.3,12465000
United States,Latin America,23,52.2,43.5,4.3,365387000
Australia,Asia,20,20,60,20,16275000
Canada,Europe,20,50,45,5,115916000
Greece,Europe,19,89.5,0,10.5,51797000
Portugal,Europe,16,93.8,6.2,0,32572000
Czechia,Europe,14,100,0,0,42049000
Poland,Europe,13,100,0,0,225099000
Sweden,Europe,13,92.3,0,7.7,13278000
Ethiopia,Africa,12,83.3,16.7,0,1225000
Peru,Latin America,12,66.7,16.7,16.7,5717000
South Africa,Africa,11,63.6,36.4,0,25874600
Indonesia,Asia,10,60,40,0,20444000
Belgium,Europe,10,100,0,0,21787000
Romania,Europe,10,90,10,0,23230000
Bulgaria,Europe,9,77.8,22.2,0,26274000
Tunisia,Arab States,9,88.9,11.1,0,19018000
Morocco,Arab States,9,100,0,0,19764000
Israel,Europe,9,100,0,0,8646000
Denmark,Europe,9,77.8,22.2,0,63444000
Argentina,Latin America,9,44.4,55.6,0,11998000
Cuba,Latin America,9,77.8,22.2,0,6137000
Viet Nam,Asia,8,62.5,25,12.5,12378000
Switzerland,Europe,8,75,25,0,23395000
Sri Lanka,Asia,8,75,25,0,2165000
Saudi Arabia,Arab States,8,87.5,12.5,0,28506000
Kenya,Africa,8,62.5,37.5,0,3620000
Thailand,Asia,8,62.5,37.5,0,32467000
Colombia,Latin America,8,62.5,25,12.5,5237000
Algeria,Arab States,7,85.7,0,14.3,4047000
Jordan,Arab States,7,85.7,0,14.3,15295000
Norway,Europe,7,85.7,14.3,0,12148000
Austria,Europe,7,100,0,0,72250000
Croatia,Europe,7,85.7,14.3,0,123940000
Syrian Arab Republic,Arab States,6,100,0,0,16635000
Hungary,Europe,6,100,0,0,141926000
Lebanon,Arab States,6,100,0,0,3360000
Philippines,Asia,6,50,50,0,8755000
Senegal,Africa,6,66.7,33.3,0,1408000
Pakistan,Asia,6,100,0,0,1842000
